R104685663,20180105,20180210,51
R105308330,20180117,20180219,56
R108459208,20180214,20180220,16
R114101406,20180204,20180217,24
R127315094,20180220,20011231,0
R128894650,20180204,20180220,38
R131941501,20180204,20180216,20
R134862432,20180204,20180219,35
R136567004,20180204,20180219,18
R143272164,20180208,20180220,32
R144078201,20180204,20180219,40
R161860011,20180220,20011231,0
R215489058,20180204,20180213,16
R217484690,20180204,20180220,28
R234275004,20180204,20180216,20
R251970147,20180115,20180216,56
R261883812,20180204,20180219,22
R266625335,20180204,20180220,20
R284551726,20180204,20180220,34
R286470161,20180211,20180219,16
R29202917,20180204,20180214,28
R294482352,20180214,20180219,8
R294840455,20180204,20180220,32
R299884290,20180205,20180218,20
R311192369,20180204,20180217,24
R311458709,20180214,20180219,8
R316119912,20180204,20180219,27
R32074891,20180105,20180212,57
R345257990,20180204,20180220,31
R366235330,20180214,20180218,16
R366416847,20180108,20180220,64
R366910185,20180208,20180220,12
R387848630,20180204,20180220,32
R43041682,20180105,20180220,65
R435449969,20180204,20180219,24
R438490939,20180204,20180210,20
R454382458,20180220,20180220,4
R465152406,20180108,20180220,66
R479332919,20180108,20180219,80
R482963349,20180204,20180220,35
R512000709,20180204,20180214,32
R552527262,20180214,20180219,20
R554318790,20180214,20180218,8
R579049121,20180204,20180215,28
R588236880,20180213,20180219,24
R595067520,20180204,20180217,16
R60263764,20180214,20180219,16
R608468030,20180204,20180213,16
R621312811,20180204,20180220,38
R621856283,20180204,20180220,35
R631440208,20180204,20180218,20
R631870169,20180211,20180219,20
R635888876,20180220,20011231,0
R639213762,20180105,20180219,59
R639289334,20180108,20180219,65
R646547082,20180204,20180212,20
R656611403,20180204,20180220,31
R669660309,20180220,20011231,0
R68690599,20180204,20180218,31
R700572896,20180204,20180220,36
R705409814,20180105,20180217,62
R71747373,20180204,20180220,23
R72057498,20180204,20180219,24
R725789542,20180204,20180218,24
R73441462,20180204,20180215,28
R738737595,20180220,20011231,0
R741714435,20180204,20180219,28
R743607338,20180204,20180212,16
R751382274,20180204,20180219,24
R752561584,20180108,20180219,56
R760741722,20180204,20180219,28
R7643916,20180204,20180218,35
R789187478,20180204,20180212,20
R800414940,20180204,20180218,24
R810406015,20180204,20180210,20
R821609343,20180108,20180220,75
R829579020,20180210,20180216,24
R836304097,20180204,20180217,20
R851905069,20180210,20180219,12
R85814899,20180204,20180220,23
R867930047,20180208,20180219,28
R868446534,20180105,20180218,60
R869886295,20180204,20180220,23
R873681509,20180204,20180216,32
R876345666,20180214,20180220,20
R889909901,20180204,20180217,24
R890384573,20180205,20180220,36
R90070106,20180204,20180219,19
R906289358,20180204,20180220,23
R931870322,20180204,20180220,28
R932402819,20180210,20180218,16
R93361968,20180213,20180219,12
R935860300,20180204,20180220,24
R96276075,20180208,20180220,24
R966425605,20180105,20180211,69
R970928145,20180211,20180220,28
R993605162,20180220,20011231,0
R99437429,20180204,20180220,32
R99582184,20180220,20011231,0
R996080189,20180208,20180217,20
